instance,S,U,avg_degree,mcmf_total_pref,mcmf_total_flow,mcmf_time,greedy_total_pref,greedy_total_assigned,greedy_time,lp_total_pref,lp_total_assigned,lp_time,total_demand,mcmf_fulfillment,greedy_fulfillment,lp_fulfillment,impr_over_greedy_pct,dis_between_lp_pct
test_MinD30_MaxD80,50,100,5,222528.0,2487.0,0.021013975143432617,161527.0,2455.0,0.0009965896606445312,222528.0,2487.0,0.2779238224029541,5458.0,0.4556614144375229,0.449798460974716,0.4556614144375229,37.76520334061798,0.0
test_MinD50_MaxD100,50,100,5,228965.0,2496.0,0.018954038619995117,148235.0,2455.0,0.0,228965.0,2496.0,0.5694787502288818,7458.0,0.33467417538214,0.3291767229820327,0.33467417538214,54.46082234290147,0.0
test_MinD80_MaxD150,50,100,5,225984.0,2496.0,0.033690690994262695,149575.0,2496.0,0.0,225984.0,2496.0,0.6932237148284912,11781.0,0.21186656480774127,0.21186656480774127,0.21186656480774127,51.08407153601872,0.0
test_S1000_U2000_DEG10_Min30_Max80,1000,2000,10,5161547.0,55239.0,15.499107360839844,4196146.0,55239.0,0.004591226577758789,5161547.0,55239.0,1.9890689849853516,110384.0,0.5004257863458472,0.5004257863458472,0.5004257863458472,23.006849618673897,0.0
test_S10_U24_DEG6,10,24,6,37539.0,477.0,0.003988027572631836,34129.0,477.0,0.0,37539.0,477.0,0.7131869792938232,500.0,0.954,0.954,0.954,9.991502827507398,0.0
test_S160_U200_DEG60,160,200,60,501113.0,5100.0,0.7356815338134766,499083.0,5100.0,0.0015017986297607422,501113.0,5100.0,0.8593454360961914,5100.0,1.0,1.0,1.0,0.40674597211285496,0.0
test_S20_U48_DEG12,20,48,12,85360.0,932.0,0.02016282081604004,70062.0,932.0,0.0,85360.0,932.0,0.6704385280609131,1341.0,0.6950037285607755,0.6950037285607755,0.6950037285607755,21.83494619051697,0.0
test_S250_U300_DEG100,250,300,100,750429.0,7563.0,2.510370969772339,749202.0,7563.0,0.0035216808319091797,750429.0,7563.0,1.5563762187957764,7563.0,1.0,1.0,1.0,0.1637742558081799,0.0
test_S40_U96_DEG24,40,96,24,197338.0,2050.0,0.0828244686126709,183341.0,2050.0,0.0,197338.0,2050.0,0.797957181930542,2457.0,0.8343508343508343,0.8343508343508343,0.8343508343508343,7.6344080156648,0.0
test_S500_U700_DEG200,500,700,200,1824081.0,18292.0,34.88203430175781,1820641.0,18292.0,0.017960548400878906,1824081.0,18292.0,7.5200276374816895,18292.0,1.0,1.0,1.0,0.18894444319335882,0.0
test_S5_U12_DEG3,5,12,3,11725.0,158.0,0.0009961128234863281,9091.0,126.0,0.0,11795.0,153.0,0.7608366012573242,158.0,1.0,0.7974683544303798,0.9683544303797469,28.97371026289737,0.5970149253731343
test_S80_U120_DEG30,80,120,30,272832.0,2816.0,0.1785719394683838,269076.0,2816.0,0.0009963512420654297,272832.0,2816.0,0.7165768146514893,2816.0,1.0,1.0,1.0,1.3958881505596932,0.0
